1001/100 7+8
824	83 3/9
825	83 4/9
826	83 5/9
827	83 6/9
828	83 7/9
829	83 8/9
830	84 0/8
831	A
832	84 1/8
833	84 2/8
834	84 3/8
835	84 4/8
836	84 5/8
837	84 6/8
838	84 7/8
839	A
840	85 0/9
841	85 1/9
842	85 2/9
843	85 3/9
844	85 4/9
845	85 5/9
846	85 6/9
847	A
848	85 7/9
849	85 8/9
850	86 0/9
851	86 1/9
852	86 2/9
853	86 3/9
854	86 4/9
855	A
856	86 5/9
857	86 6/9
858	86 7/9
859	86 8/9
860	87 0/9
861	87 1/9
862	87 2/9
863	A
864	87 3/9
865	87 4/9
866	87 5/9
867	87 6/9
868	87 7/9
869	87 8/9
870	88 0/8
871	A
872	88 1/8
873	88 2/8
874	88 3/8
875	88 4/8
876	88 5/8
877	88 6/8
878	88 7/8
879	A
880	89 0/9
881	89 1/9
882	89 2/9
883	89 3/9
884	89 4/9
885	89 5/9
886	89 6/9
887	A
888	89 7/9
889	89 8/9
890	90 0/9
891	90 1/9
892	90 2/9
893	90 3/9
894	90 4/9
895	A
896	90 5/9
897	90 6/9
898	90 7/9
899	90 8/9
900	91 0/9
901	91 1/9
902	91 2/9
903	A
904	91 3/9
905	91 4/9
906	91 5/9
907	91 6/9
908	91 7/9
909	91 8/9
910	92 0/8
911	A
912	92 1/8
913	92 2/8
914	92 3/8
915	92 4/8
916	92 5/8
917	92 6/8
918	92 7/8
919	A
920	93 0/9
921	93 1/9
922	93 2/9
923	93 3/9
924	93 4/9
925	93 5/9
926	93 6/9
927	A
928	93 7/9
929	93 8/9
930	94 0/9
931	94 1/9
932	94 2/9
933	94 3/9
934	94 4/9
935	A
936	94 5/9
937	94 6/9
938	94 7/9
939	94 8/9
940	95 0/9
941	95 1/9
942	95 2/9
943	A
944	95 3/9
945	95 4/9
946	95 5/9
947	95 6/9
948	95 7/9
949	95 8/9
950	96 0/8
951	A
952	96 1/8
953	96 2/8
954	96 3/8
955	96 4/8
956	96 5/8
957	96 6/8
958	96 7/8
959	A
960	97 0/9
961	97 1/9
962	97 2/9
963	97 3/9
964	97 4/9
965	97 5/9
966	97 6/9
967	A
968	97 7/9
969	97 8/9
970	98 0/9
971	98 1/9
972	98 2/9
973	98 3/9
974	98 4/9
975	A
976	98 5/9
977	98 6/9
978	98 7/9
979	98 8/9
980	99 0/9
981	99 1/9
982	99 2/9
983	A
984	99 3/9
985	99 4/9
986	99 5/9
987	99 6/9
988	99 7/9
989	99 8/9
990	100 0/9
991	A
992	100 1/9
