25/4	15+16	loop
983	158	2/5
984	X
985	158	3/5
986	158	4/5
987	159	0/6
988	159	1/6
989	159	2/6
990	159	3/6
991	X
992	159	4/6
993	159	5/6
994	160	0/5
995	160	1/5
996	160	2/5
997	160	3/5
998	160	4/5
999	161	0/6
1000	161	1/6
1001	161	2/6
1002	161	3/6
1003	161	4/6
1004	161	5/6
1005	162	0/6
1006	162	1/6
1007	X
1008	162	2/6
1009	162	3/6
1010	162	4/6
1011	X
1012	162	5/6
1013	163	0/5
1014	163	1/5
1015	163	2/5
1016	163	3/5
1017	163	4/5
1018	164	0/6
1019	164	1/6
1020	164	2/6
1021	164	3/6
1022	164	4/6
1023	X
1024	164	5/6
1025	165	0/6
1026	165	1/6
1027	165	2/6
1028	165	3/6
1029	165	4/6
1030	165	5/6
1031	166	0/5
1032	166	1/5
1033	166	2/5
1034	166	3/5
1035	166	4/5
1036	167	0/6
1037	X
1038	167	1/6
1039	X
1040	167	2/6
1041	167	3/6
1042	167	4/6
1043	167	5/6
1044	168	0/5
1045	168	1/5
1046	168	2/5
1047	168	3/5
1048	168	4/5
1049	169	0/6
1050	169	1/6
1051	169	2/6
1052	169	3/6
1053	169	4/6
1054	169	5/6
1055	X
1056	170	0/6
1057	170	1/6
1058	170	2/6
1059	170	3/6
1060	170	4/6
1061	170	5/6
1062	171	0/5
1063	171	1/5
1064	X
1065	171	2/5
1066	171	3/5
1067	171	4/5
1068	172	0/6
1069	172	1/6
1070	172	2/6
1071	X
1072	172	3/6
1073	172	4/6
1074	172	5/6
1075	173	0/6
1076	173	1/6
1077	173	2/6
1078	173	3/6
1079	173	4/6
1080	173	5/6
1081	174	0/5
1082	174	1/5
1083	174	2/5
1084	174	3/5
1085	174	4/5
1086	175	0/6
1087	X
1088	175	1/6
1089	175	2/6
1090	175	3/6
1091	X
1092	175	4/6
1093	175	5/6
1094	176	0/5
1095	176	1/5
1096	176	2/5
1097	176	3/5
1098	176	4/5
1099	177	0/6
1100	177	1/6
1101	177	2/6
1102	177	3/6
1103	X
1104	177	4/6
1105	177	5/6
1106	178	0/6
1107	178	1/6
1108	178	2/6
1109	178	3/6
1110	178	4/6
1111	178	5/6
1112	179	0/5
1113	179	1/5
1114	179	2/5
1115	179	3/5
1116	179	4/5
1117	X
1118	180	0/6
1119	X
1120	180	1/6
1121	180	2/6
1122	180	3/6
1123	180	4/6
1124	180	5/6
1125	181	0/6
1126	181	1/6
1127	181	2/6
1128	181	3/6
1129	181	4/6
1130	181	5/6
1131	182	0/5
1132	182	1/5
1133	182	2/5
1134	182	3/5
1135	X
1136	182	4/5
1137	183	0/6
1138	183	1/6
1139	183	2/6
1140	183	3/6
1141	183	4/6
1142	183	5/6
1143	184	0/5
1144	X
1145	184	1/5
1146	184	2/5
1147	184	3/5
1148	184	4/5
1149	185	0/6
1150	185	1/6
1151	X
1152	185	2/6
1153	185	3/6
1154	185	4/6
1155	185	5/6
1156	186	0/6
1157	186	1/6
1158	186	2/6
1159	186	3/6
1160	186	4/6
1161	186	5/6
1162	187	0/5
1163	187	1/5
1164	187	2/5
1165	187	3/5
1166	187	4/5
1167	X
1168	188	0/6
1169	188	1/6
1170	188	2/6
1171	X
1172	188	3/6
1173	188	4/6
1174	188	5/6
1175	189	0/6
1176	189	1/6
1177	189	2/6
1178	189	3/6
1179	189	4/6
1180	189	5/6
1181	190	0/5
1182	190	1/5
1183	X
1184	190	2/5
1185	190	3/5
1186	190	4/5
1187	191	0/6
1188	191	1/6
1189	191	2/6
1190	191	3/6
1191	191	4/6
1192	191	5/6
1193	192	0/5
1194	192	1/5
1195	192	2/5
1196	192	3/5
1197	X
1198	192	4/5
1199	X
1200	193	0/6
1201	193	1/6
1202	193	2/6
1203	193	3/6
1204	193	4/6
1205	193	5/6
1206	194	0/6
1207	194	1/6
1208	194	2/6
1209	194	3/6
1210	194	4/6
1211	194	5/6
1212	195	0/5
1213	195	1/5
1214	195	2/5
1215	X
1216	195	3/5
1217	195	4/5
1218	196	0/6
1219	196	1/6
1220	196	2/6
1221	196	3/6
1222	196	4/6
1223	196	5/6
1224	X
1225	197	0/6
1226	197	1/6
1227	197	2/6
1228	197	3/6
1229	197	4/6
1230	197	5/6
1231	X
1232	198	0/5
1233	198	1/5
1234	198	2/5
1235	198	3/5
1236	198	4/5
1237	199	0/6
1238	199	1/6
1239	199	2/6
1240	199	3/6
1241	199	4/6
1242	199	5/6
1243	200	0/5
1244	200	1/5
1245	200	2/5
1246	200	3/5
1247	X
1248	200	4/5
1249	201	0/6
1250	201	1/6
1251	X
1252	201	2/6
1253	201	3/6
1254	201	4/6
1255	201	5/6
1256	202	0/6
1257	202	1/6
1258	202	2/6
1259	202	3/6
1260	202	4/6
1261	202	5/6
1262	203	0/5
1263	X
1264	203	1/5
1265	203	2/5
1266	203	3/5
1267	203	4/5
1268	204	0/6
1269	204	1/6
1270	204	2/6
1271	204	3/6
1272	204	4/6
1273	204	5/6
1274	205	0/6
1275	205	1/6
1276	205	2/6
1277	X
1278	205	3/6
1279	X
1280	205	4/6
1281	205	5/6
1282	206	0/5
1283	206	1/5
1284	206	2/5
1285	206	3/5
1286	206	4/5
1287	207	0/6
1288	207	1/6
1289	207	2/6
1290	207	3/6
1291	207	4/6
1292	207	5/6
1293	208	0/5
1294	208	1/5
1295	X
1296	208	2/5
1297	208	3/5
1298	208	4/5
1299	209	0/6
1300	209	1/6
1301	209	2/6
1302	209	3/6
1303	209	4/6
1304	X
1305	209	5/6
1306	210	0/6
1307	210	1/6
1308	210	2/6
1309	210	3/6
1310	210	4/6
1311	X
1312	210	5/6
1313	211	0/5
1314	211	1/5
1315	211	2/5
1316	211	3/5
1317	211	4/5
1318	212	0/6
1319	212	1/6
1320	212	2/6
1321	212	3/6
1322	212	4/6
1323	212	5/6
1324	213	0/6
1325	213	1/6
1326	213	2/6
1327	X
1328	213	3/6
1329	213	4/6
1330	213	5/6
1331	X
1332	214	0/5
1333	214	1/5
1334	214	2/5
1335	214	3/5
1336	214	4/5
1337	215	0/6
1338	215	1/6
1339	215	2/6
1340	215	3/6
1341	215	4/6
1342	215	5/6
1343	X
1344	216	0/5
1345	216	1/5
1346	216	2/5
1347	216	3/5
1348	216	4/5
1349	217	0/6
1350	217	1/6
1351	217	2/6
1352	217	3/6
1353	217	4/6
1354	217	5/6
1355	218	0/6
1356	218	1/6
1357	X
1358	218	2/6
1359	X
1360	218	3/6
1361	218	4/6
1362	218	5/6
1363	219	0/5
1364	219	1/5
1365	219	2/5
1366	219	3/5
1367	219	4/5
1368	220	0/6
1369	220	1/6
1370	220	2/6
1371	220	3/6
1372	220	4/6
1373	220	5/6
1374	221	0/6
1375	X
1376	221	1/6
1377	221	2/6
1378	221	3/6
1379	221	4/6
1380	221	5/6
1381	222	0/5
1382	222	1/5
1383	222	2/5
1384	X
1385	222	3/5
1386	222	4/5
1387	223	0/6
1388	223	1/6
1389	223	2/6
1390	223	3/6
1391	X
1392	223	4/6
1393	223	5/6
1394	224	0/5
1395	224	1/5
1396	224	2/5
1397	224	3/5
1398	224	4/5
1399	225	0/6
1400	225	1/6
1401	225	2/6
1402	225	3/6
1403	225	4/6
1404	225	5/6
1405	226	0/6
1406	226	1/6
1407	X
1408	226	2/6
1409	226	3/6
1410	226	4/6
1411	X
1412	226	5/6
1413	227	0/5
1414	227	1/5
1415	227	2/5
1416	227	3/5
1417	227	4/5
1418	228	0/6
1419	228	1/6
1420	228	2/6
1421	228	3/6
1422	228	4/6
1423	X
1424	228	5/6
1425	229	0/6
1426	229	1/6
1427	229	2/6
1428	229	3/6
1429	229	4/6
1430	229	5/6
1431	230	0/5
1432	230	1/5
1433	230	2/5
1434	230	3/5
1435	230	4/5
1436	231	0/6
1437	X
1438	231	1/6
1439	X
1440	231	2/6
1441	231	3/6
1442	231	4/6
1443	231	5/6
1444	232	0/5
1445	232	1/5
1446	232	2/5
1447	232	3/5
1448	232	4/5
1449	233	0/6
1450	233	1/6
1451	233	2/6
1452	233	3/6
1453	233	4/6
1454	233	5/6
1455	X
1456	234	0/6
1457	234	1/6
1458	234	2/6
1459	234	3/6
1460	234	4/6
1461	234	5/6
1462	235	0/5
1463	235	1/5
1464	X
1465	235	2/5
1466	235	3/5
1467	235	4/5
1468	236	0/6
1469	236	1/6
1470	236	2/6
1471	X
1472	236	3/6
1473	236	4/6
1474	236	5/6
1475	237	0/6
1476	237	1/6
1477	237	2/6
1478	237	3/6
1479	237	4/6
1480	237	5/6
1481	238	0/5
1482	238	1/5
1483	238	2/5
1484	238	3/5
1485	238	4/5
1486	239	0/6
1487	X
1488	239	1/6
1489	239	2/6
1490	239	3/6
1491	X
1492	239	4/6
1493	239	5/6
1494	240	0/5
1495	240	1/5
1496	240	2/5
1497	240	3/5
1498	240	4/5
1499	241	0/6
1500	241	1/6
1501	241	2/6
1502	241	3/6
1503	X
1504	241	4/6
1505	241	5/6
1506	242	0/6
1507	242	1/6
1508	242	2/6
1509	242	3/6
1510	242	4/6
1511	242	5/6
1512	243	0/5
1513	243	1/5
1514	243	2/5
1515	243	3/5
1516	243	4/5
1517	X
1518	244	0/6
1519	X
1520	244	1/6
1521	244	2/6
1522	244	3/6
1523	244	4/6
1524	244	5/6
1525	245	0/6
1526	245	1/6
1527	245	2/6
1528	245	3/6
1529	245	4/6
1530	245	5/6
1531	246	0/5
1532	246	1/5
1533	246	2/5
1534	246	3/5
1535	X
1536	246	4/5
1537	247	0/6
1538	247	1/6
1539	247	2/6
1540	247	3/6
1541	247	4/6
1542	247	5/6
1543	248	0/5
1544	X
1545	248	1/5
1546	248	2/5
1547	248	3/5
1548	248	4/5
1549	249	0/6
1550	249	1/6
1551	X
1552	249	2/6
1553	249	3/6
1554	249	4/6
1555	249	5/6
1556	250	0/6
1557	250	1/6
1558	250	2/6
1559	250	3/6
1560	250	4/6
1561	250	5/6
1562	251	0/5
1563	251	1/5
1564	251	2/5
1565	251	3/5
1566	251	4/5
1567	X
1568	252	0/6
1569	252	1/6
1570	252	2/6
1571	X
1572	252	3/6
1573	252	4/6
1574	252	5/6
1575	253	0/6
1576	253	1/6
1577	253	2/6
1578	253	3/6
1579	253	4/6
1580	253	5/6
1581	254	0/5
1582	254	1/5
1583	X
1584	254	2/5
1585	254	3/5
1586	254	4/5
1587	255	0/6
1588	255	1/6
1589	255	2/6
1590	255	3/6
1591	255	4/6
1592	255	5/6
1593	256	0/5
1594	256	1/5
1595	256	2/5
1596	256	3/5
1597	X
1598	256	4/5
1599	X
1600	257	0/6
1601	257	1/6
1602	257	2/6
1603	257	3/6
1604	257	4/6
1605	257	5/6
1606	258	0/6
1607	258	1/6
1608	258	2/6
1609	258	3/6
1610	258	4/6
1611	258	5/6
1612	259	0/5
1613	259	1/5
1614	259	2/5
1615	X
1616	259	3/5
1617	259	4/5
1618	260	0/6
1619	260	1/6
1620	260	2/6
1621	260	3/6
1622	260	4/6
1623	260	5/6
1624	X
1625	261	0/6
1626	261	1/6
1627	261	2/6
1628	261	3/6
1629	261	4/6
1630	261	5/6
1631	X
1632	262	0/5
1633	262	1/5
1634	262	2/5
1635	262	3/5
1636	262	4/5
1637	263	0/6
1638	263	1/6
1639	263	2/6
1640	263	3/6
1641	263	4/6
1642	263	5/6
1643	264	0/5
1644	264	1/5
1645	264	2/5
1646	264	3/5
1647	X
1648	264	4/5
1649	265	0/6
1650	265	1/6
1651	X
1652	265	2/6
1653	265	3/6
1654	265	4/6
1655	265	5/6
1656	266	0/6
1657	266	1/6
1658	266	2/6
1659	266	3/6
1660	266	4/6
1661	266	5/6
1662	267	0/5
1663	X
1664	267	1/5
1665	267	2/5
1666	267	3/5
1667	267	4/5
1668	268	0/6
1669	268	1/6
1670	268	2/6
1671	268	3/6
1672	268	4/6
1673	268	5/6
1674	269	0/6
1675	269	1/6
1676	269	2/6
1677	X
1678	269	3/6
1679	X
1680	269	4/6
1681	269	5/6
1682	270	0/5
1683	270	1/5
1684	270	2/5
1685	270	3/5
1686	270	4/5
1687	271	0/6
1688	271	1/6
1689	271	2/6
1690	271	3/6
1691	271	4/6
1692	271	5/6
1693	272	0/5
1694	272	1/5
1695	X
1696	272	2/5
1697	272	3/5
1698	272	4/5
1699	273	0/6
1700	273	1/6
1701	273	2/6
1702	273	3/6
1703	273	4/6
1704	X
1705	273	5/6
1706	274	0/6
1707	274	1/6
1708	274	2/6
1709	274	3/6
1710	274	4/6
1711	X
1712	274	5/6
1713	275	0/5
1714	275	1/5
1715	275	2/5
1716	275	3/5
1717	275	4/5
1718	276	0/6
1719	276	1/6
1720	276	2/6
1721	276	3/6
1722	276	4/6
1723	276	5/6
1724	277	0/6
1725	277	1/6
1726	277	2/6
1727	X
1728	277	3/6
1729	277	4/6
1730	277	5/6
1731	X
1732	278	0/5
1733	278	1/5
1734	278	2/5
1735	278	3/5
1736	278	4/5
1737	279	0/6
