3003/400	7+8	(Soul	Blade)
1012	135	5/6
1013	136	0/7
1014	136	1/7
1015	X
1016	136	2/7
1017	136	3/7
1018	136	4/7
1019	136	5/7
1020	136	6/7
1021	137	0/6
1022	137	1/6
1023	X
1024	137	2/6
1025	137	3/6
1026	137	4/6
1027	137	5/6
1028	138	0/7
1029	138	1/7
1030	138	2/7
1031	X
1032	138	3/7
1033	138	4/7
1034	138	5/7
1035	138	6/7
1036	139	0/6
1037	139	1/6
1038	139	2/6
1039	X
1040	139	3/6
1041	139	4/6
1042	139	5/6
1043	140	0/7
1044	140	1/7
1045	140	2/7
1046	140	3/7
1047	X
1048	140	4/7
1049	140	5/7
1050	140	6/7
1051	141	0/6
1052	141	1/6
1053	141	2/6
1054	141	3/6
1055	X
1056	141	4/6
1057	141	5/6
1058	142	0/7
1059	142	1/7
1060	142	2/7
1061	142	3/7
1062	142	4/7
1063	X
1064	142	5/7
1065	142	6/7
1066	143	0/6
1067	143	1/6
1068	143	2/6
1069	143	3/6
1070	143	4/6
1071	X
1072	143	5/6
1073	144	0/7
1074	144	1/7
1075	144	2/7
1076	144	3/7
1077	144	4/7
1078	144	5/7
1079	X
1080	144	6/7
1081	145	0/7
1082	145	1/7
1083	145	2/7
1084	145	3/7
1085	145	4/7
1086	145	5/7
1087	X
1088	145	6/7
1089	146	0/7
1090	146	1/7
1091	146	2/7
1092	146	3/7
1093	146	4/7
1094	146	5/7
1095	X
1096	146	6/7
1097	147	0/6
1098	147	1/6
1099	147	2/6
1100	147	3/6
1101	147	4/6
1102	147	5/6
1103	X
1104	148	0/7
1105	148	1/7
1106	148	2/7
1107	148	3/7
1108	148	4/7
1109	148	5/7
1110	148	6/7
1111	X
1112	149	0/6
1113	149	1/6
1114	149	2/6
1115	149	3/6
1116	149	4/6
1117	149	5/6
1118	150	0/7
1119	X
1120	150	1/7
1121	150	2/7
1122	150	3/7
1123	150	4/7
1124	150	5/7
1125	150	6/7
1126	151	0/6
1127	X
1128	151	1/6
1129	151	2/6
1130	151	3/6
1131	151	4/6
1132	151	5/6
1133	152	0/7
1134	152	1/7
1135	X
1136	152	2/7
1137	152	3/7
1138	152	4/7
1139	152	5/7
1140	152	6/7
1141	153	0/6
1142	153	1/6
1143	X
1144	153	2/6
1145	153	3/6
1146	153	4/6
1147	153	5/6
1148	154	0/7
1149	154	1/7
1150	154	2/7
1151	X
1152	154	3/7
1153	154	4/7
1154	154	5/7
1155	154	6/7
1156	155	0/6
1157	155	1/6
1158	155	2/6
1159	X
1160	155	3/6
1161	155	4/6
1162	155	5/6
1163	156	0/7
1164	156	1/7
1165	156	2/7
1166	156	3/7
1167	X
1168	156	4/7
1169	156	5/7
1170	156	6/7
1171	157	0/6
1172	157	1/6
1173	157	2/6
1174	157	3/6
1175	X
1176	157	4/6
1177	157	5/6
1178	158	0/7
1179	158	1/7
1180	158	2/7
1181	158	3/7
1182	158	4/7
1183	X
1184	158	5/7
1185	158	6/7
1186	159	0/6
1187	159	1/6
1188	159	2/6
1189	159	3/6
1190	159	4/6
1191	X
1192	159	5/6
1193	160	0/7
1194	160	1/7
1195	160	2/7
1196	160	3/7
1197	160	4/7
1198	160	5/7
1199	X
1200	160	6/7
1201	161	0/7
1202	161	1/7
1203	161	2/7
1204	161	3/7
1205	161	4/7
1206	161	5/7
1207	X
1208	161	6/7
1209	162	0/7
1210	162	1/7
1211	162	2/7
1212	162	3/7
1213	162	4/7
1214	162	5/7
1215	X
1216	162	6/7
1217	163	0/6
1218	163	1/6
1219	163	2/6
1220	163	3/6
1221	163	4/6
1222	163	5/6
1223	X
1224	164	0/7
1225	164	1/7
1226	164	2/7
1227	164	3/7
1228	164	4/7
1229	164	5/7
1230	164	6/7
1231	X
1232	165	0/6
1233	165	1/6
1234	165	2/6
1235	165	3/6
1236	165	4/6
1237	165	5/6
1238	166	0/7
1239	X
1240	166	1/7
1241	166	2/7
1242	166	3/7
1243	166	4/7
1244	166	5/7
1245	166	6/7
1246	167	0/6
